,,telegraaf
asielzoekers,somaliers,0.19090256383168205
asielzoekers,surinamer,0.019607619569429288
asielzoekers,surinamers,0.492611374993126
asielzoekers,syrier,0.08785167700271694
asielzoekers,syriers,0.23181765372301194
asielzoekers,turk,0.1476869384430985
asielzoekers,turken,0.5989898149711351
asielzoekers,westers,0.09227198724230101
asielzoekster,afgaan,0.004119384207422083
asielzoekster,afghanen,0.32157389253761
asielzoekster,allochtonen,0.08883459324002134
asielzoekster,allochtoon,0.34774732014995346
asielzoekster,antilliaan,0.6837064703906849
asielzoekster,antillianen,0.3578719117101113
asielzoekster,arabier,0.6522180117859908
asielzoekster,arabieren,0.2687864004943973
asielzoekster,burger,0.13332632339707062
asielzoekster,burgers,0.07059074001270443
asielzoekster,expat,0.5876363489888491
asielzoekster,expats,0.24696834558549824
asielzoekster,immigrant,0.5854392383904036
asielzoekster,immigranten,0.2560918620774354
asielzoekster,irakees,0.6882245956359567
asielzoekster,irakezen,0.30798509735912555
asielzoekster,marokkaan,0.5525472098001343
asielzoekster,marokkanen,0.2025331788850479
asielzoekster,migrant,0.6376661077714358
asielzoekster,migranten,0.20403974642111994
asielzoekster,moslim,0.3927312466123633
asielzoekster,moslims,0.2279310940150569
asielzoekster,nederlander,0.33765717018706315
asielzoekster,nederlanders,0.12186414768624648
asielzoekster,somalier,0.7528776176512679
asielzoekster,somaliers,0.6604219998244628
asielzoekster,surinamer,0.6977683371943036
asielzoekster,surinamers,0.2850799741884258
asielzoekster,syrier,0.7730643552385729
asielzoekster,syriers,0.6992498063157148
asielzoekster,turk,0.6218101483892895
asielzoekster,turken,0.22530096486068799
asielzoekster,westers,0.3020838764268746
asociaal,afgaan,0.0928598355715491
asociaal,afghanen,0.22023080629776226
asociaal,allochtonen,0.33546062496973506
asociaal,allochtoon,0.5228145630287269
asociaal,antilliaan,0.1846658075299699
asociaal,antillianen,0.3716916268251975
asociaal,arabier,0.21245959045518958
asociaal,arabieren,0.13906582042953597
asociaal,burger,0.3035198546334026
asociaal,burgers,0.30949551486565297
asociaal,expat,0.17608339046977348
asociaal,expats,0.05005318611787316
asociaal,immigrant,0.12180932734821043
asociaal,immigranten,0.06203039131577762
asociaal,irakees,0.32767292914676843
asociaal,irakezen,0.05506644404200665
asociaal,marokkaan,0.12663854997074891
asociaal,marokkanen,0.27173227206515116
asociaal,migrant,0.12503117442836223
asociaal,migranten,0.09363863348704073
asociaal,moslim,0.30302507172397536
asociaal,moslims,0.2814018437382144
asociaal,nederlander,-0.01736815144238941
asociaal,nederlanders,0.1070778264393829
asociaal,somalier,0.11992669714064136
asociaal,somaliers,0.30283385323481615
asociaal,surinamer,0.13746235045177752
asociaal,surinamers,0.2622830720767951
asociaal,syrier,0.2413335328476756
asociaal,syriers,0.19691956040115538
asociaal,turk,0.17630916879678904
asociaal,turken,0.1649455906053553
asociaal,westers,0.4832859883691025
autokraker,afgaan,0.10988264004107778
autokraker,afghanen,0.24166124799884336
autokraker,allochtonen,0.05457774727208016
autokraker,allochtoon,0.2695747236277221
autokraker,antilliaan,0.7377990254233474
autokraker,antillianen,0.31119160638912347
autokraker,arabier,0.7397601028234405
autokraker,arabieren,0.15523173226239823
autokraker,burger,0.3506638995074373
autokraker,burgers,0.15710558322276702
autokraker,expat,0.5183374134883528
autokraker,expats,0.18154488749649225
autokraker,immigrant,0.660378723173718
autokraker,immigranten,0.20100313370551431
autokraker,irakees,0.6672395989152178
autokraker,irakezen,0.20945516084182275
autokraker,marokkaan,0.594848786706378
autokraker,marokkanen,0.16844837460467638
autokraker,migrant,0.6235303483233511
autokraker,migranten,0.1521431480115839
autokraker,moslim,0.32486168776815594
autokraker,moslims,0.13178521916569455
autokraker,nederlander,0.3488381292326162
autokraker,nederlanders,0.06880861339492486
autokraker,somalier,0.7111940069273603
autokraker,somaliers,0.5589453967226715
autokraker,surinamer,0.6826641519234714
autokraker,surinamers,0.21836051225449338
autokraker,syrier,0.6400454364117232
autokraker,syriers,0.6145043954888261
autokraker,turk,0.6270719013056094
autokraker,turken,0.14231409913024332
autokraker,westers,0.184594426683947
autoritair,afgaan,0.06081259872944863
autoritair,afghanen,0.27204684428111425
autoritair,allochtonen,0.18116487484645077
autoritair,allochtoon,0.45810281356387655
autoritair,antilliaan,0.3720855554367225
autoritair,antillianen,0.2926742874822475
autoritair,arabier,0.3977201386743296
autoritair,arabieren,0.24939860607508166
autoritair,burger,0.11003805300780937
autoritair,burgers,0.11758461356719029
autoritair,expat,0.3689176570526081
autoritair,expats,0.011528455370726833
autoritair,immigrant,0.25209143778304266
autoritair,immigranten,0.03271628369289724
autoritair,irakees,0.43906157662602274
autoritair,irakezen,0.14384551300258103
autoritair,marokkaan,0.22231543770144596
autoritair,marokkanen,0.1782082467653786
autoritair,migrant,0.2262869698160429
autoritair,migranten,0.03472067798779882
autoritair,moslim,0.42305086676238796
autoritair,moslims,0.24713210918011447
autoritair,nederlander,-0.0005687687157335153
autoritair,nederlanders,-0.06747966607309155
autoritair,somalier,0.40481497438278446
autoritair,somaliers,0.5168050447398294
autoritair,surinamer,0.31590331640323904
autoritair,surinamers,0.22790147922473125
autoritair,syrier,0.5447903437351597
autoritair,syriers,0.444459752766956
autoritair,turk,0.3301746123855916
autoritair,turken,0.14715849010387183
autoritair,westers,0.5793475780888141
bandiet,afgaan,-0.05951029543162286
bandiet,afghanen,0.18320545609963396
bandiet,allochtonen,-0.018036529766391245
bandiet,allochtoon,0.2969997795228927
bandiet,antilliaan,0.6699143462233856
bandiet,antillianen,0.19082506685837453
bandiet,arabier,0.8043963587559483
bandiet,arabieren,0.2577643256593096
bandiet,burger,0.14324494385627393
bandiet,burgers,0.03500483792199577
bandiet,expat,0.5985032470930955
bandiet,expats,0.12252630403163145
bandiet,immigrant,0.6540687407500514
bandiet,immigranten,0.1937788078999849
bandiet,irakees,0.7213500416489224
bandiet,irakezen,0.24502450705286594
bandiet,marokkaan,0.5196031978893001
bandiet,marokkanen,0.09562104244117385
bandiet,migrant,0.6433970175534851
bandiet,migranten,0.12209101177811668
bandiet,moslim,0.41794861878118644
bandiet,moslims,0.18598526366205662
bandiet,nederlander,0.2993554109741566
bandiet,nederlanders,0.08390099725426954
bandiet,somalier,0.7737324124135991
bandiet,somaliers,0.6099114464360462
bandiet,surinamer,0.7105104925364916
bandiet,surinamers,0.23516425408538183
bandiet,syrier,0.7481780794102433
bandiet,syriers,0.6535938441792947
bandiet,turk,0.6207839057360858
bandiet,turken,0.08797550123903498
bandiet,westers,0.3383424136999994
bankovervaller,afgaan,0.05358547140436463
bankovervaller,afghanen,0.20053100671463522
bankovervaller,allochtonen,0.01697342402480104
bankovervaller,allochtoon,0.2862513535577737
bankovervaller,antilliaan,0.6734812631240595
bankovervaller,antillianen,0.2937726932167497
bankovervaller,arabier,0.7612261092956497
bankovervaller,arabieren,0.18774140854695537
bankovervaller,burger,0.10664889521653917
bankovervaller,burgers,0.028262093711182608
bankovervaller,expat,0.6292988400257351
bankovervaller,expats,0.21642374071715065
bankovervaller,immigrant,0.6273095292317564
bankovervaller,immigranten,0.14133470547806448
bankovervaller,irakees,0.6907235868030352
bankovervaller,irakezen,0.2011778099218878
bankovervaller,marokkaan,0.47971618501975594
bankovervaller,marokkanen,0.16866030318366168
bankovervaller,migrant,0.5399682655274834
bankovervaller,migranten,0.07759326514796577
bankovervaller,moslim,0.2974232518166157
bankovervaller,moslims,0.10205361128607611
bankovervaller,nederlander,0.18159433128297905
bankovervaller,nederlanders,-0.014408152500961382
bankovervaller,somalier,0.7753941078706379
bankovervaller,somaliers,0.6794385575035354
bankovervaller,surinamer,0.6971717820865324
bankovervaller,surinamers,0.2945836781702677
