,,telegraaf
intellectuelen,immigrant,0.48932377533642124
intellectuelen,immigranten,0.5073941882979155
intellectuelen,irakees,0.4483049312251628
intellectuelen,irakezen,0.5325293503781572
intellectuelen,marokkaan,0.3276550342961821
intellectuelen,marokkanen,0.5969453686054749
intellectuelen,migrant,0.4112050506786715
intellectuelen,migranten,0.445021036293237
intellectuelen,moslim,0.553003114015952
intellectuelen,moslims,0.5958526692574397
intellectuelen,nederlander,0.13289351112073908
intellectuelen,nederlanders,0.3552878842357403
intellectuelen,somalier,0.4888922602172925
intellectuelen,somaliers,0.42408778775921185
intellectuelen,surinamer,0.4499039002027805
intellectuelen,surinamers,0.6520960389132753
intellectuelen,syrier,0.4825032801406316
intellectuelen,syriers,0.5473068476503566
intellectuelen,turk,0.4538023470104145
intellectuelen,turken,0.5078833053351252
intellectuelen,vluchteling,0.46290907114119606
intellectuelen,vluchtelingen,0.3928945391818482
intellectuelen,westers,0.30322796036602834
leidinggevenden,afgaan,0.18164575115000928
leidinggevenden,afghanen,0.6781174846881579
leidinggevenden,allochtonen,0.6581745424971506
leidinggevenden,allochtoon,0.23848600019632912
leidinggevenden,antilliaan,0.14668257836629128
leidinggevenden,antillianen,0.6250212672134856
leidinggevenden,arabier,0.1451573241081267
leidinggevenden,arabieren,0.4934833606317899
leidinggevenden,belg,-0.012247616672202838
leidinggevenden,belgen,0.45285969695084716
leidinggevenden,christen,0.23177836398214358
leidinggevenden,christenen,0.4774725019840737
leidinggevenden,duitser,-0.07307980761026259
leidinggevenden,duitsers,0.38146268508060455
leidinggevenden,expat,0.20410920947531314
leidinggevenden,expats,0.5624316320613049
leidinggevenden,immigrant,0.20893055705313557
leidinggevenden,immigranten,0.5431486996552072
leidinggevenden,irakees,0.24694041234778902
leidinggevenden,irakezen,0.6132832011058761
leidinggevenden,marokkaan,0.17092639279692298
leidinggevenden,marokkanen,0.6389288851452719
leidinggevenden,migrant,0.17047985127595777
leidinggevenden,migranten,0.5320132960821038
leidinggevenden,moslim,0.2944393343807846
leidinggevenden,moslims,0.5417445860727002
